#separator:tab
#html:true
#columns:English	Russian	Pronunciation	Note	Tags
Hello (formal)	<div style="font-size:2em">Здра́вствуйте</div>[sound:zastolom_firs001.mp3]	the first в is silent: [zdrá-stvuy-tye]		first_contact p1
Good evening	<div style="font-size:2em">До́брый ве́чер</div>[sound:zastolom_firs002.mp3]	[dó-bry vyé-cher]		first_contact p1
Good afternoon	<div style="font-size:2em">До́брый день</div>[sound:zastolom_firs003.mp3]	[dó-bry dyen']		first_contact p2
Good morning	<div style="font-size:2em">До́брое у́тро</div>[sound:zastolom_firs004.mp3]	[dó-bra-ye ú-tra]		first_contact p2
My name is Joe	<div style="font-size:2em">Меня́ зову́т Джо</div>[sound:zastolom_firs005.mp3]	lit. 'they call me': [me-nyá za-vút]		first_contact p1
Very nice to meet you	<div style="font-size:2em">О́чень прия́тно</div>[sound:zastolom_firs006.mp3]	[ó-chen' pri-yát-na]		first_contact p1
Pleased to meet you	<div style="font-size:2em">Прия́тно познако́миться</div>[sound:zastolom_firs007.mp3]	[pri-yát-na pa-zna-kó-mi-tsa]		first_contact p2
Glad to meet you	<div style="font-size:2em">Рад познако́миться</div><div style="font-size:0.75em;color:#888">(male form)</div>[sound:zastolom_firs008.mp3]	use рад (male form): [rad pa-zna-kó-mi-tsa]		first_contact p2
Allow me to introduce myself	<div style="font-size:2em">Разреши́те предста́виться</div>[sound:zastolom_firs009.mp3]	formal/ceremonial: [raz-re-shí-tye pred-stá-vi-tsa] — «Меня́ зову́т…» is the warmer everyday option		first_contact p3
Thank you for inviting me	<div style="font-size:2em">Спаси́бо, что пригласи́ли</div>[sound:zastolom_firs010.mp3]	[spa-sí-ba shto pri-gla-sí-li]		first_contact p1
Thank you for having me	<div style="font-size:2em">Спаси́бо, что приня́ли</div>[sound:zastolom_firs011.mp3]	warmer than 'glad to be here' (a calque): [spa-sí-ba shto prí-nya-li] — при́няли stress on 1st syllable	Idiomatic guest gratitude — Russians thank the hosts for receiving them.	first_contact p2
Goodbye	<div style="font-size:2em">До свида́ния</div>[sound:zastolom_firs012.mp3]	[da svi-dá-ni-ya]		first_contact p2
Good night	<div style="font-size:2em">Споко́йной но́чи</div>[sound:zastolom_firs013.mp3]	[spa-kóy-nay nó-chi]		first_contact p3
Thank you	<div style="font-size:2em">Спаси́бо</div>[sound:zastolom_poli001.mp3]	[spa-sí-ba]		politeness p1
Thank you very much	<div style="font-size:2em">Спаси́бо большо́е</div>[sound:zastolom_poli002.mp3]	[spa-sí-ba bal-shó-ye]		politeness p1
Please / You're welcome	<div style="font-size:2em">Пожа́луйста</div>[sound:zastolom_poli003.mp3]	[pa-zhá-lus-ta]		politeness p1
Excuse me / sorry (formal)	<div style="font-size:2em">Извини́те</div>[sound:zastolom_poli004.mp3]	[iz-vi-ní-tye]		politeness p1
Pardon me / sorry (formal)	<div style="font-size:2em">Прости́те</div>[sound:zastolom_poli005.mp3]	[pra-stí-tye]		politeness p2
May I?	<div style="font-size:2em">Мо́жно?</div>[sound:zastolom_poli006.mp3]	[mózh-na]		politeness p2
Yes	<div style="font-size:2em">Да</div>[sound:zastolom_poli007.mp3]	[da]		politeness p1
No, thank you	<div style="font-size:2em">Нет, спаси́бо</div>[sound:zastolom_poli008.mp3]	[nyet spa-sí-ba]		politeness p1
I'm still learning Russian	<div style="font-size:2em">Я ещё учу́ ру́сский</div>[sound:zastolom_poli009.mp3]	your best rescue line: [ya ye-shchó u-chú rús-skiy]		politeness p1
Could you repeat, please	<div style="font-size:2em">Повтори́те, пожа́луйста</div>[sound:zastolom_poli010.mp3]	[pav-ta-rí-tye pa-zhá-lus-ta]		politeness p1
Slower, please	<div style="font-size:2em">Поме́дленнее, пожа́луйста</div>[sound:zastolom_poli011.mp3]	[pa-myéd-len-nye-ye pa-zhá-lus-ta]		politeness p1
I don't understand	<div style="font-size:2em">Я не понима́ю</div>[sound:zastolom_poli012.mp3]	[ya nye pa-ni-má-yu]		politeness p1
I understand	<div style="font-size:2em">Я понима́ю</div>[sound:zastolom_poli013.mp3]	[ya pa-ni-má-yu]		politeness p2
Got it / I see	<div style="font-size:2em">Поня́тно</div>[sound:zastolom_poli014.mp3]	[pa-nyát-na]		politeness p2
Good / OK	<div style="font-size:2em">Хорошо́</div>[sound:zastolom_poli015.mp3]	both о reduce to [a]: [ha-ra-shó]		politeness p1
Great	<div style="font-size:2em">Отли́чно</div>[sound:zastolom_poli016.mp3]	[at-lích-na]		politeness p2
How do you say … in Russian?	<div style="font-size:2em">Как по-ру́сски …?</div>[sound:zastolom_poli017.mp3]	[kak pa-rús-ski] — also «Как э́то бу́дет по-ру́сски?»		politeness p3
To our getting together!	<div style="font-size:2em">За встре́чу!</div>[sound:zastolom_toas001.mp3]	[za fstryé-chu]		toasts p1
To getting to know each other!	<div style="font-size:2em">За знако́мство!</div>[sound:zastolom_toas002.mp3]	[za zna-kóm-stva]		toasts p2
To the parents!	<div style="font-size:2em">За роди́телей!</div>[sound:zastolom_toas003.mp3]	[za ra-dí-te-ley]		toasts p2
To the hostess! (who cooked)	<div style="font-size:2em">За хозя́йку!</div>[sound:zastolom_toas004.mp3]	[za ha-zyáy-ku]		toasts p2
To the hosts!	<div style="font-size:2em">За хозя́ев!</div>[sound:zastolom_toas005.mp3]	[za ha-zyá-yev]		toasts p2
To your health! (formal)	<div style="font-size:2em">За ва́ше здоро́вье!</div>[sound:zastolom_toas006.mp3]	[za vá-she zda-róv-ye]		toasts p1
To health!	<div style="font-size:2em">За здоро́вье!</div>[sound:zastolom_toas007.mp3]	[za zda-róv-ye]	NOT «На здоровье» — that is a reply to thanks, not a toast.	toasts p2
