#separator:tab
#html:true
#columns:CardType	SourceId	Prompt	Answer	Audio	Context	Tags
cloze	firs002	Fill the blank: ____ вечер<br>Good evening	Добрый<hr>До́брый ве́чер	[sound:zastolom_firs002.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p1 type_cloze source_firs002
cloze	firs003	Fill the blank: ____ день<br>Good afternoon	Добрый<hr>До́брый день	[sound:zastolom_firs003.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p2 type_cloze source_firs003
cloze	firs004	Fill the blank: ____ утро<br>Good morning	Доброе<hr>До́брое у́тро	[sound:zastolom_firs004.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p2 type_cloze source_firs004
cloze	firs005	Fill the blank: Меня ____ Джо<br>My name is Joe	зовут<hr>Меня́ зову́т Джо	[sound:zastolom_firs005.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p1 type_cloze source_firs005
cloze	firs006	Fill the blank: Очень ____<br>Very nice to meet you	приятно<hr>О́чень прия́тно	[sound:zastolom_firs006.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p1 type_cloze source_firs006
cloze	firs007	Fill the blank: Приятно ____<br>Pleased to meet you	познакомиться<hr>Прия́тно познако́миться	[sound:zastolom_firs007.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p2 type_cloze source_firs007
cloze	firs008	Fill the blank: Рад ____<br>Glad to meet you	познакомиться<hr>Рад познако́миться	[sound:zastolom_firs008.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p2 type_cloze source_firs008
cloze	firs009	Fill the blank: Разрешите ____<br>Allow me to introduce myself	представиться<hr>Разреши́те предста́виться	[sound:zastolom_firs009.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p3 type_cloze source_firs009
cloze	firs010	Fill the blank: Спасибо, что ____<br>Thank you for inviting me	пригласили<hr>Спаси́бо, что пригласи́ли	[sound:zastolom_firs010.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p1 type_cloze source_firs010
cloze	firs011	Fill the blank: ____, что приняли<br>Thank you for having me	Спасибо<hr>Спаси́бо, что приня́ли	[sound:zastolom_firs011.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p2 type_cloze source_firs011
cloze	firs012	Fill the blank: До ____<br>Goodbye	свидания<hr>До свида́ния	[sound:zastolom_firs012.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p2 type_cloze source_firs012
cloze	firs013	Fill the blank: ____ ночи<br>Good night	Спокойной<hr>Споко́йной но́чи	[sound:zastolom_firs013.mp3]	Sentence-level recall; produce the Russian chunk in context.	first_contact p3 type_cloze source_firs013
cloze	poli002	Fill the blank: ____ большое<br>Thank you very much	Спасибо<hr>Спаси́бо большо́е	[sound:zastolom_poli002.mp3]	Sentence-level recall; produce the Russian chunk in context.	politeness p1 type_cloze source_poli002
cloze	poli008	Fill the blank: Нет, ____<br>No, thank you	спасибо<hr>Нет, спаси́бо	[sound:zastolom_poli008.mp3]	Sentence-level recall; produce the Russian chunk in context.	politeness p1 type_cloze source_poli008
cloze	poli009	Fill the blank: Я ещё учу ____<br>I'm still learning Russian	русский<hr>Я ещё учу́ ру́сский	[sound:zastolom_poli009.mp3]	Sentence-level recall; produce the Russian chunk in context.	politeness p1 type_cloze source_poli009
cloze	poli010	Fill the blank: Повторите, ____<br>Could you repeat, please	пожалуйста<hr>Повтори́те, пожа́луйста	[sound:zastolom_poli010.mp3]	Sentence-level recall; produce the Russian chunk in context.	politeness p1 type_cloze source_poli010
cloze	poli011	Fill the blank: ____, пожалуйста<br>Slower, please	Помедленнее<hr>Поме́дленнее, пожа́луйста	[sound:zastolom_poli011.mp3]	Sentence-level recall; produce the Russian chunk in context.	politeness p1 type_cloze source_poli011
cloze	poli012	Fill the blank: Я не ____<br>I don't understand	понимаю<hr>Я не понима́ю	[sound:zastolom_poli012.mp3]	Sentence-level recall; produce the Russian chunk in context.	politeness p1 type_cloze source_poli012
cloze	poli013	Fill the blank: Я ____<br>I understand	понимаю<hr>Я понима́ю	[sound:zastolom_poli013.mp3]	Sentence-level recall; produce the Russian chunk in context.	politeness p2 type_cloze source_poli013
cloze	poli017	Fill the blank: Как по-____ …?<br>How do you say … in Russian?	русски<hr>Как по-ру́сски …?	[sound:zastolom_poli017.mp3]	Sentence-level recall; produce the Russian chunk in context.	politeness p3 type_cloze source_poli017
cloze	toas001	Fill the blank: За ____!<br>To our getting together!	встречу<hr>За встре́чу!	[sound:zastolom_toas001.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p1 type_cloze source_toas001
cloze	toas002	Fill the blank: За ____!<br>To getting to know each other!	знакомство<hr>За знако́мство!	[sound:zastolom_toas002.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas002
cloze	toas003	Fill the blank: За ____!<br>To the parents!	родителей<hr>За роди́телей!	[sound:zastolom_toas003.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas003
cloze	toas004	Fill the blank: За ____!<br>To the hostess! (who cooked)	хозяйку<hr>За хозя́йку!	[sound:zastolom_toas004.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas004
cloze	toas005	Fill the blank: За ____!<br>To the hosts!	хозяев<hr>За хозя́ев!	[sound:zastolom_toas005.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas005
cloze	toas006	Fill the blank: За ваше ____!<br>To your health! (formal)	здоровье<hr>За ва́ше здоро́вье!	[sound:zastolom_toas006.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p1 type_cloze source_toas006
cloze	toas007	Fill the blank: За ____!<br>To health!	здоровье<hr>За здоро́вье!	[sound:zastolom_toas007.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas007
cloze	toas008	Fill the blank: За ____!<br>To the family!	семью<hr>За семью́!	[sound:zastolom_toas008.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas008
cloze	toas009	Fill the blank: За ____!<br>To love!	любовь<hr>За любо́вь!	[sound:zastolom_toas009.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas009
cloze	toas010	Fill the blank: За ____!<br>To the newlyweds!	молодых<hr>За молоды́х!	[sound:zastolom_toas010.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p3 type_cloze source_toas010
cloze	toas011	Fill the blank: Будем ____!<br>Let's be healthy! (full toast)	здоровы<hr>Бу́дем здоро́вы!	[sound:zastolom_toas011.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas011
cloze	toas012	Fill the blank: Я хочу ____ тост за …<br>I want to make a toast to …	сказать<hr>Я хочу́ сказа́ть тост за …	[sound:zastolom_toas012.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p2 type_cloze source_toas012
cloze	toas013	Fill the blank: ____ выпьем за это!<br>Let's drink to that!	Давайте<hr>Дава́йте вы́пьем за э́то!	[sound:zastolom_toas013.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p3 type_cloze source_toas013
cloze	toas014	Fill the blank: до ____<br>'to the bottom' (drain the glass)	дна<hr>до дна́	[sound:zastolom_toas014.mp3]	Sentence-level recall; produce the Russian chunk in context.	toasts p3 type_cloze source_toas014
cloze	fami008	Fill the blank: ____ жены<br>wife's sister (your sister-in-law)	сестра<hr>сестра́ жены́	[sound:zastolom_fami008.mp3]	Sentence-level recall; produce the Russian chunk in context.	family p3 type_cloze source_fami008
cloze	fami019	Fill the blank: Я ____ вашу дочь<br>I love your daughter	люблю<hr>Я люблю́ ва́шу дочь	[sound:zastolom_fami019.mp3]	Sentence-level recall; produce the Russian chunk in context.	family p1 type_cloze source_fami019
cloze	food001	Fill the blank: ____ аппетита!<br>Bon appétit!	Приятного<hr>Прия́тного аппети́та!	[sound:zastolom_food001.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p1 type_cloze source_food001
cloze	food002	Fill the blank: Очень ____!<br>Very tasty!	вкусно<hr>О́чень вку́сно!	[sound:zastolom_food002.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p1 type_cloze source_food002
cloze	food004	Fill the blank: ____, было очень вкусно<br>Thank you, it was delicious	Спасибо<hr>Спаси́бо, бы́ло о́чень вку́сно	[sound:zastolom_food004.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p1 type_cloze source_food004
cloze	food005	Fill the blank: Мне очень ____<br>I really like it	нравится<hr>Мне о́чень нра́вится	[sound:zastolom_food005.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p2 type_cloze source_food005
cloze	food006	Fill the blank: Я ____<br>I'm full (I've eaten my fill)	наелся<hr>Я нае́лся	[sound:zastolom_food006.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p2 type_cloze source_food006
cloze	food007	Fill the blank: ____ ещё?<br>May I have more?	Можно<hr>Мо́жно ещё?	[sound:zastolom_food007.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p2 type_cloze source_food007
cloze	food008	Fill the blank: ____, не надо<br>Thanks, I'm good (no need)	Спасибо<hr>Спаси́бо, не на́до	[sound:zastolom_food008.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p2 type_cloze source_food008
cloze	food009	Fill the blank: Передайте, ____, хлеб<br>Please pass the bread	пожалуйста<hr>Переда́йте, пожа́луйста, хлеб	[sound:zastolom_food009.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p3 type_cloze source_food009
cloze	food010	Fill the blank: ____ чаю?<br>May I have some tea?	Можно<hr>Мо́жно ча́ю?	[sound:zastolom_food010.mp3]	Sentence-level recall; produce the Russian chunk in context.	food p3 type_cloze source_food010
cloze	smal001	Fill the blank: Я ____<br>I'm a lawyer (general — use this)	юрист<hr>Я юри́ст	[sound:zastolom_smal001.mp3]	Sentence-level recall; produce the Russian chunk in context.	smalltalk p2 type_cloze source_smal001
cloze	smal002	Fill the blank: Я из ____<br>I'm from America	Америки<hr>Я из Аме́рики	[sound:zastolom_smal002.mp3]	Sentence-level recall; produce the Russian chunk in context.	smalltalk p2 type_cloze source_smal002
cloze	smal003	Fill the blank: Я из штата ____<br>I'm from the state of Missouri	Миссури<hr>Я из шта́та Миссу́ри	[sound:zastolom_smal003.mp3]	Sentence-level recall; produce the Russian chunk in context.	smalltalk p3 type_cloze source_smal003
